audio,target
"[ 0.08410645  0.0854187   0.01959229 ...  0.14337158  0.04840088
 -0.02593994]",37
[0.00891113 0.00894165 0.0088501  ... 0.00341797 0.00384521 0.00384521],32
[0.06112671 0.06338501 0.06665039 ... 0.4499817  0.45495605 0.45648193],16
"[-3.0517578e-03 -2.5939941e-03 -1.3427734e-03 ... -2.1362305e-04
 -3.0517578e-05  2.1362305e-04]",37
"[-0.00793457 -0.0043335  -0.00814819 ...  0.0038147   0.00546265
  0.00723267]",25
"[-0.00308228  0.00119019  0.0012207  ...  0.00146484  0.0020752
  0.00085449]",25
"[ 1.9836426e-03  1.8920898e-03  2.0141602e-03 ...  9.1552734e-05
 -3.5400391e-03 -2.0446777e-03]",25
"[ 0.00152588  0.00354004  0.00338745 ... -0.00717163 -0.00299072
 -0.00476074]",25
"[-0.01907349 -0.02053833 -0.02270508 ... -0.00613403  0.00015259
  0.00296021]",25
"[-3.8146973e-03 -3.9062500e-03 -3.7536621e-03 ... -8.8500977e-04
  6.1035156e-05  5.4931641e-04]",25
"[ 3.9062500e-03  3.2043457e-03  3.8146973e-03 ...  4.8828125e-04
  6.1035156e-05 -1.2207031e-04]",4
"[ 0.00024414  0.00015259  0.00106812 ...  0.00067139 -0.00012207
  0.00015259]",4
[0.00469971 0.00772095 0.00946045 ... 0.0010376  0.0012207  0.00143433],48
[0.00064087 0.00073242 0.00088501 ... 0.00073242 0.0007019  0.00048828],48
"[ 0.04794312  0.046875    0.04333496 ... -0.00125122 -0.00094604
 -0.00106812]",3
"[-0.05163574 -0.16940308 -0.23443604 ...  0.          0.
  0.        ]",15
"[ 0.00024414 -0.00192261 -0.00357056 ... -0.00750732 -0.00280762
 -0.00137329]",27
"[ 0.00204468  0.00030518 -0.00537109 ...  0.          0.
  0.        ]",27
"[-0.01141357 -0.0168457  -0.01477051 ...  0.          0.
  0.        ]",43
[0.00143433 0.00177002 0.0015564  ... 0.00634766 0.00439453 0.00161743],12
"[ 0.11935425  0.1296997   0.14428711 ... -0.0869751  -0.06542969
 -0.05944824]",40
"[-0.14447021 -0.2965088  -0.43563843 ... -0.15371704 -0.07858276
 -0.0541687 ]",40
"[-0.15026855 -0.21218872 -0.17398071 ...  0.5731201   0.18218994
 -0.19134521]",40
[0.03262329 0.03710938 0.00985718 ... 0.08572388 0.0559082  0.04379272],40
"[ 0.02822876  0.05526733  0.06689453 ... -0.63931274 -0.69781494
 -0.5352478 ]",40
"[ 0.00195312 -0.01449585 -0.00900269 ...  0.02453613  0.03417969
  0.03048706]",40
"[-0.00177002 -0.00170898 -0.00180054 ...  0.          0.
  0.        ]",29
"[ 0.00018311 -0.01654053 -0.05728149 ... -0.02990723 -0.11868286
 -0.12689209]",10
"[-0.00228882 -0.00268555 -0.00244141 ...  0.00460815  0.00112915
 -0.00036621]",12
"[-0.05862427 -0.04336548 -0.0140686  ... -0.01296997 -0.01391602
 -0.01522827]",7
"[-0.00085449  0.00183105  0.00045776 ...  0.00524902  0.00442505
  0.00100708]",12
[0.02444458 0.02474976 0.02957153 ... 0.04452515 0.05047607 0.0390625 ],12
"[-0.05606079 -0.07080078 -0.05935669 ...  0.03442383  0.03387451
  0.03295898]",12
"[-0.00897217 -0.01150513 -0.01342773 ...  0.          0.
  0.        ]",26
"[-0.00701904 -0.00183105  0.00366211 ... -0.07254028 -0.0838623
 -0.08831787]",4
"[ 0.0020752   0.00119019  0.0010376  ... -0.01657104 -0.01611328
 -0.01498413]",6
"[ 1.5258789e-04 -8.2397461e-04 -6.1035156e-05 ... -4.7375488e-01
 -5.3781128e-01 -5.5703735e-01]",6
"[-0.04125977 -0.05657959 -0.05307007 ...  0.0480957   0.05767822
  0.04595947]",40
[0.06692505 0.0909729  0.08657837 ... 0.00860596 0.01855469 0.01873779],40
"[-0.01052856  0.00405884  0.01480103 ...  0.11541748  0.10690308
  0.10772705]",44
"[-0.20831299 -0.21392822 -0.21994019 ... -0.00543213 -0.00650024
 -0.00720215]",44
"[-0.00015259 -0.00021362  0.00100708 ...  0.0098877   0.01138306
  0.01242065]",23
[0. 0. 0. ... 0. 0. 0.],31
[0.00012207 0.00012207 0.00012207 ... 0.00534058 0.00579834 0.00610352],20
[0.10324097 0.12112427 0.13397217 ... 0.01898193 0.01480103 0.01040649],4
[0.11468506 0.06072998 0.01022339 ... 0.2190857  0.1880188  0.14974976],4
[0.07287598 0.05383301 0.03485107 ... 0.1991272  0.23873901 0.27005005],4
"[-0.00427246 -0.00442505 -0.00216675 ...  0.49972534  0.26397705
 -0.26315308]",49
"[-0.00787354 -0.00845337 -0.0078125  ...  0.          0.
  0.        ]",43
[0.00042725 0.00039673 0.00036621 ... 0.         0.         0.        ],24
[0.00112915 0.0010376  0.00091553 ... 0.         0.         0.        ],24
"[-0.20129395 -0.20614624 -0.21231079 ...  0.          0.
  0.        ]",7
[0.0151062  0.01248169 0.01034546 ... 0.07803345 0.08261108 0.08291626],8
"[-0.00524902  0.0020752   0.00769043 ... -0.02694702 -0.03872681
 -0.04150391]",8
"[ 0.01635742  0.0151062   0.00152588 ... -0.00692749 -0.0140686
 -0.03277588]",36
"[-0.01992798 -0.02520752 -0.04702759 ... -0.0519104  -0.05578613
 -0.04269409]",36
"[-0.01104736  0.02380371  0.05114746 ...  0.0461731   0.03512573
  0.03695679]",36
"[-0.00027466 -0.0005188  -0.00067139 ...  0.01455688  0.02374268
  0.01760864]",41
"[-0.00888062 -0.01101685 -0.00698853 ... -0.03143311 -0.03579712
 -0.0302124 ]",41
"[-0.00463867 -0.00689697 -0.00527954 ... -0.01672363 -0.07867432
 -0.06903076]",41
[0.0227356  0.02597046 0.02133179 ... 0.         0.         0.        ],39
"[-0.00314331  0.00204468  0.00466919 ...  0.00881958  0.01165771
  0.01040649]",3
"[-0.1859436  -0.18276978 -0.18023682 ... -0.00360107 -0.00360107
 -0.00357056]",28
"[ 0.04376221  0.05029297  0.05935669 ... -0.02468872  0.01596069
 -0.02227783]",18
"[ 0.00924683  0.02383423  0.03475952 ... -0.06365967 -0.04992676
 -0.034729  ]",2
"[ 0.07342529  0.04425049  0.01834106 ... -0.03030396 -0.02676392
 -0.0256958 ]",2
[0.08917236 0.04595947 0.00872803 ... 0.12808228 0.1421814  0.16867065],2
[0.09683228 0.13388062 0.14071655 ... 0.04415894 0.04379272 0.04229736],2
"[-0.07748413 -0.07540894 -0.07015991 ...  0.02453613  0.01260376
  0.00192261]",2
"[-0.0005188  -0.00073242 -0.00039673 ...  0.00061035  0.00115967
  0.00100708]",20
"[ 0.01864624  0.02755737  0.03009033 ... -0.00024414 -0.00323486
 -0.00344849]",20
"[-0.00515747 -0.00668335 -0.00598145 ... -0.00808716 -0.00714111
 -0.00408936]",20
"[ 0.05368042  0.11608887  0.11898804 ... -0.15151978 -0.16506958
 -0.10437012]",10
"[-0.31155396 -0.30090332 -0.28912354 ...  0.20285034  0.1770935
  0.14978027]",46
"[-0.05166626 -0.019104   -0.01849365 ... -0.11199951 -0.14901733
 -0.14852905]",35
"[ 8.8500977e-04  9.4604492e-04  2.7465820e-04 ... -6.1035156e-05
 -6.1035156e-05 -3.0517578e-05]",38
[0.01721191 0.01290894 0.01379395 ... 0.00036621 0.00143433 0.00054932],38
[0.00021362 0.00036621 0.00033569 ... 0.         0.         0.        ],25
"[ 0.00054932  0.00079346  0.00076294 ... -0.00942993 -0.01202393
 -0.00970459]",20
"[-0.00231934 -0.00448608 -0.00540161 ...  0.00387573  0.00588989
  0.00466919]",20
"[-0.13726807 -0.15753174 -0.15911865 ... -0.29663086 -0.34732056
 -0.32495117]",46
"[ 0.0880127   0.08178711  0.07327271 ... -0.02130127 -0.0291748
 -0.03665161]",44
"[-0.00115967 -0.00097656 -0.00183105 ...  0.0015564   0.00125122
  0.00067139]",15
"[-0.00091553 -0.00079346 -0.00042725 ... -0.01690674 -0.01501465
  0.00100708]",15
"[-0.07241821 -0.06552124 -0.04418945 ... -0.03512573 -0.03549194
 -0.03582764]",19
"[-0.02871704 -0.02478027 -0.01855469 ...  0.2911682   0.29840088
  0.30578613]",19
"[-0.00241089 -0.00299072 -0.0062561  ...  0.00143433  0.00161743
  0.0012207 ]",49
"[-0.08016968 -0.07495117 -0.0524292  ...  0.02975464  0.01931763
  0.00418091]",35
"[ 0.08984375  0.00427246 -0.18060303 ...  0.26779175  0.1864624
  0.12063599]",35
"[ 0.03076172  0.03182983  0.03289795 ... -0.143219   -0.13134766
 -0.10070801]",43
"[-0.07180786 -0.05603027 -0.02529907 ...  0.04431152  0.04620361
  0.02993774]",43
"[-6.3781738e-03 -6.3171387e-03 -6.5002441e-03 ...  1.8310547e-04
  6.1035156e-05 -9.1552734e-05]",19
"[-0.00149536 -0.00164795 -0.00164795 ...  0.00918579  0.00946045
  0.00958252]",19
"[-0.00183105 -0.00186157 -0.00152588 ...  0.01184082  0.01217651
  0.01281738]",19
"[-0.07214355 -0.06283569 -0.04751587 ...  0.2789917  -0.0262146
 -0.3399048 ]",47
"[-0.17254639 -0.23001099 -0.27349854 ... -0.02716064 -0.02694702
 -0.02642822]",43
[0.00015259 0.00033569 0.00036621 ... 0.00033569 0.00036621 0.00045776],48
"[ 0.00668335  0.00274658 -0.00085449 ...  0.00619507  0.00592041
  0.00497437]",48
"[ 0.00305176 -0.0295105  -0.05950928 ... -0.24475098 -0.22631836
 -0.20285034]",2
[0.02230835 0.06933594 0.10675049 ... 0.03848267 0.02325439 0.00231934],2
"[ 0.03775024  0.04971313  0.04519653 ... -0.19033813 -0.02145386
  0.1210022 ]",2
"[-6.1035156e-05  0.0000000e+00 -3.0517578e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",21
[0.14431763 0.1242981  0.14816284 ... 0.         0.         0.        ],43
[0.11349487 0.13467407 0.15231323 ... 0.         0.         0.        ],43
"[-0.00088501 -0.00082397 -0.00082397 ... -0.0284729  -0.02877808
 -0.02871704]",30
"[ 0.01275635  0.01882935  0.06924438 ...  0.04998779 -0.00997925
  0.01010132]",10
"[-0.00848389 -0.00939941 -0.00808716 ...  0.          0.
  0.        ]",1
"[-0.03244019 -0.04406738 -0.0329895  ... -0.11434937 -0.1399231
 -0.15292358]",35
[0.10379028 0.09368896 0.02218628 ... 0.06829834 0.09408569 0.0814209 ],35
"[ 0.00619507  0.00415039  0.00079346 ... -0.00921631 -0.00827026
 -0.00366211]",28
"[-0.00036621 -0.00039673  0.00030518 ...  0.00012207  0.00082397
  0.00195312]",28
[0.12002563 0.14886475 0.09249878 ... 0.         0.         0.        ],1
"[ 0.06002808  0.05773926  0.05535889 ...  0.02120972  0.00827026
 -0.01193237]",18
[0.00521851 0.00756836 0.01034546 ... 0.08010864 0.08148193 0.05535889],11
"[-0.0345459  -0.04321289 -0.02978516 ...  0.00836182 -0.00015259
 -0.00097656]",11
"[-0.17147827 -0.21160889 -0.24014282 ... -0.04605103 -0.05841064
 -0.05639648]",43
"[ 0.03378296  0.03344727  0.03192139 ...  0.025177   -0.03329468
 -0.03744507]",16
"[ 0.00210571  0.02444458  0.04382324 ... -0.13647461 -0.18185425
 -0.14331055]",10
"[0.0000000e+00 3.0517578e-05 0.0000000e+00 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",21
"[-0.31341553 -0.32489014 -0.3300171  ... -0.06689453 -0.06710815
 -0.06692505]",26
"[-0.00708008 -0.00427246  0.00036621 ...  0.          0.
  0.        ]",26
"[ 0.          0.          0.         ...  0.02520752 -0.00332642
 -0.03182983]",18
"[-0.0088501  -0.0112915  -0.00958252 ...  0.01443481  0.01705933
  0.01361084]",0
"[-2.4414062e-04 -2.7465820e-04 -2.1362305e-04 ... -6.1035156e-05
  1.2207031e-04  6.1035156e-05]",0
"[-0.0093689  -0.0078125  -0.00900269 ... -0.00350952 -0.02139282
 -0.03482056]",23
"[ 0.00457764  0.00482178  0.00579834 ... -0.12670898 -0.08364868
 -0.0402832 ]",23
"[ 0.14031982  0.13973999  0.13647461 ... -0.19631958 -0.21148682
 -0.22293091]",23
[0.30639648 0.29910278 0.2868042  ... 0.         0.         0.        ],24
"[-0.03530884 -0.03076172 -0.03240967 ...  0.07562256  0.09542847
  0.10681152]",6
"[ 0.03042603  0.03076172  0.02957153 ... -0.10940552 -0.11663818
 -0.11242676]",6
[0.01699829 0.01309204 0.0116272  ... 0.08691406 0.04797363 0.00558472],42
"[-0.13748169 -0.15734863 -0.17150879 ... -0.3159485  -0.30133057
 -0.2838745 ]",42
"[-3.0517578e-05  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",21
"[ 0.00588989  0.00674438  0.00650024 ... -0.03701782 -0.0322876
 -0.02462769]",4
"[-0.01187134 -0.02029419 -0.02459717 ...  0.01223755 -0.02539062
 -0.05197144]",4
"[ 0.00906372  0.01071167  0.0093689  ... -0.00213623 -0.00238037
 -0.00228882]",0
"[-0.08914185 -0.14666748 -0.1800232  ... -0.21850586 -0.21948242
 -0.18869019]",35
[0.04721069 0.0541687  0.05914307 ... 0.00021362 0.01107788 0.00982666],35
"[ 0.00085449  0.00079346  0.00088501 ... -0.00653076 -0.00665283
 -0.00656128]",29
[0.06369019 0.06213379 0.06222534 ... 0.00384521 0.00390625 0.00393677],26
[0.08755493 0.08859253 0.06018066 ... 0.00695801 0.00576782 0.00759888],5
"[-0.00665283 -0.01068115 -0.01425171 ...  0.09527588  0.09667969
  0.09658813]",5
"[ 0.0005188   0.00015259 -0.00198364 ...  0.          0.
  0.        ]",1
"[-0.00448608 -0.00494385 -0.00415039 ...  0.          0.
  0.        ]",1
"[ 0.17080688  0.1515503   0.12988281 ... -0.04382324 -0.0473938
 -0.05752563]",14
"[-0.01467896 -0.00149536 -0.01861572 ...  0.03961182  0.04119873
  0.04388428]",14
[0.00567627 0.00344849 0.00140381 ... 0.00790405 0.00967407 0.01101685],37
"[-0.00027466 -0.00042725 -0.00057983 ...  0.00668335  0.00726318
  0.0050354 ]",38
"[ 0.00299072  0.00112915  0.00036621 ... -0.00384521  0.00463867
  0.012146  ]",26
"[ 0.00234985 -0.00549316 -0.0105896  ... -0.00024414 -0.00048828
 -0.00067139]",26
[0. 0. 0. ... 0. 0. 0.],23
[0.006073   0.0043335  0.00152588 ... 0.         0.         0.        ],23
[0. 0. 0. ... 0. 0. 0.],23
[0. 0. 0. ... 0. 0. 0.],23
"[-0.31277466 -0.29742432 -0.2722473  ... -0.03530884 -0.03759766
 -0.04364014]",47
[0.00259399 0.00372314 0.00344849 ... 0.         0.         0.        ],29
"[-0.0022583  -0.00222778 -0.00213623 ... -0.00064087 -0.00131226
 -0.00048828]",14
"[-0.00708008  0.00778198  0.02124023 ...  0.00030518  0.00021362
  0.00024414]",14
"[-3.0517578e-05 -7.7514648e-03 -1.1138916e-02 ...  7.4017334e-01
  6.5191650e-01  5.6402588e-01]",9
"[-0.01953125 -0.01400757 -0.01010132 ...  0.02737427  0.03167725
  0.02844238]",9
"[-0.01065063 -0.00933838 -0.0017395  ...  0.10180664  0.1088562
  0.07977295]",11
"[ 0.01254272  0.01608276  0.00665283 ... -0.1444397  -0.16744995
 -0.13973999]",11
"[ 0.00131226  0.00082397 -0.00030518 ...  0.          0.
  0.        ]",1
"[ 0.01437378  0.01824951  0.01855469 ... -0.08728027 -0.08026123
 -0.07821655]",28
"[ 0.05343628  0.06359863  0.0753479  ... -0.12185669 -0.12075806
 -0.10946655]",46
"[-0.00149536 -0.00167847 -0.00170898 ...  0.02908325  0.02954102
  0.02978516]",28
[0.00045776 0.00082397 0.00094604 ... 0.         0.         0.        ],1
"[ 0.00042725 -0.00210571 -0.00271606 ...  0.00106812  0.00125122
 -0.00039673]",28
"[-0.00033569 -0.00042725 -0.00030518 ...  0.          0.
  0.        ]",34
"[ 0.01809692  0.02655029  0.02651978 ... -0.07440186 -0.08450317
 -0.0657959 ]",12
[0.0189209  0.02145386 0.01593018 ... 0.019104   0.0218811  0.01809692],38
[0.00073242 0.00073242 0.00033569 ... 0.         0.         0.        ],1
"[-0.0088501  -0.02432251 -0.0447998  ...  0.00689697  0.0201416
  0.03457642]",11
[0.00039673 0.00048828 0.0005188  ... 0.         0.         0.        ],34
"[ 0.69055176  0.72494507  0.7583008  ... -0.11682129 -0.11697388
 -0.11712646]",47
"[-0.10910034 -0.11300659 -0.11645508 ...  0.01199341  0.01394653
  0.01596069]",47
"[ 0.05960083  0.05883789  0.05786133 ... -0.0140686  -0.0140686
 -0.01397705]",47
"[-0.04641724 -0.04574585 -0.04302979 ...  0.09371948  0.09716797
  0.1003418 ]",47
[0. 0. 0. ... 0. 0. 0.],1
"[ 0.0710144  -0.00131226 -0.08187866 ...  0.02380371 -0.01940918
  0.        ]",27
"[ 3.1738281e-03  3.0517578e-05 -1.1901855e-03 ... -6.0424805e-03
 -8.4838867e-03 -9.2773438e-03]",31
"[ 0.00259399  0.0020752  -0.00027466 ... -0.00149536 -0.00268555
 -0.00238037]",14
[0.06954956 0.09469604 0.08981323 ... 0.01049805 0.01364136 0.00335693],12
"[-0.0027771  -0.00350952 -0.00274658 ...  0.00244141 -0.00726318
 -0.01705933]",18
"[-3.0517578e-05  4.5166016e-03  1.1810303e-02 ...  7.8125000e-03
  8.1481934e-03  8.1787109e-03]",49
[0.5380554  0.52697754 0.6824341  ... 0.04986572 0.03994751 0.02462769],36
"[ 0.05328369  0.05422974  0.06164551 ... -0.02606201 -0.02807617
 -0.02496338]",7
"[-0.04428101 -0.04522705 -0.04629517 ...  0.01803589  0.01889038
  0.0189209 ]",7
"[-0.03594971 -0.04077148 -0.00686646 ...  0.          0.
  0.        ]",41
"[-0.13305664 -0.18515015 -0.1668396  ... -0.03900146 -0.05532837
 -0.04904175]",41
[0. 0. 0. ... 0. 0. 0.],21
[0.         0.00036621 0.00015259 ... 0.         0.         0.        ],21
"[-0.85025024 -0.7727356  -0.7151489  ... -1.         -1.
 -1.        ]",16
"[-0.39990234 -0.39852905 -0.4105835  ... -0.17745972 -0.1857605
 -0.18548584]",16
"[-0.00079346 -0.00152588 -0.0015564  ...  0.01272583  0.00979614
  0.0038147 ]",5
"[-0.00253296 -0.00210571 -0.0020752  ... -0.00170898 -0.00219727
 -0.00268555]",5
"[-1.9226074e-03 -2.0446777e-03 -1.5563965e-03 ...  6.1035156e-05
 -3.0517578e-05  3.0517578e-05]",5
"[-0.02331543 -0.02468872 -0.02227783 ...  0.06393433  0.11032104
  0.1305542 ]",28
[0.06246948 0.04782104 0.03210449 ... 0.01898193 0.01797485 0.01138306],46
"[-0.0010376  -0.00186157 -0.00180054 ...  0.00091553  0.00119019
  0.00082397]",38
"[-0.2536621  -0.24383545 -0.22799683 ...  0.          0.
  0.        ]",35
"[ 0.03717041  0.04238892  0.03024292 ... -0.07980347 -0.07467651
 -0.06616211]",8
"[-0.00839233 -0.01135254 -0.0145874  ...  0.04199219  0.04083252
  0.04022217]",8
"[-0.03274536 -0.06652832 -0.08056641 ... -0.04904175 -0.06271362
 -0.08847046]",10
"[-0.01708984 -0.01208496 -0.00854492 ...  0.          0.
  0.        ]",44
"[-0.01922607 -0.02261353 -0.02639771 ...  0.          0.
  0.        ]",44
"[-0.00048828 -0.00048828 -0.00039673 ...  0.01123047  0.00579834
  0.00045776]",15
"[ 3.0517578e-05 -6.1035156e-05 -2.1362305e-04 ...  2.7465820e-04
 -3.0517578e-05 -9.1552734e-05]",17
"[-0.609375   -0.62612915 -0.6255188  ... -0.10498047 -0.08117676
 -0.03729248]",44
"[ 3.0517578e-05  6.1035156e-05 -6.1035156e-05 ... -2.1362305e-04
 -2.4414062e-04 -2.1362305e-04]",17
"[ 0.01223755  0.01586914  0.01571655 ... -0.0144043  -0.01153564
 -0.01473999]",16
"[ 0.02865601  0.03152466  0.03640747 ... -0.00552368 -0.00646973
 -0.01300049]",16
"[-0.01211548 -0.02105713 -0.00445557 ... -0.14068604 -0.112854
 -0.08840942]",16
"[-3.0517578e-05  2.1362305e-04  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",25
"[-0.03778076 -0.04519653 -0.04162598 ...  0.0513916   0.01989746
  0.00582886]",18
"[-9.5214844e-03 -1.3549805e-02 -1.7730713e-02 ...  3.0517578e-05
  1.2207031e-04  0.0000000e+00]",17
"[ 0.00024414  0.00030518  0.00042725 ... -0.00112915 -0.00112915
 -0.00057983]",17
"[-0.00131226 -0.0015564  -0.00146484 ... -0.00091553 -0.00094604
 -0.00112915]",33
"[-0.02099609 -0.01211548 -0.00354004 ...  0.01211548  0.04440308
  0.06192017]",33
"[ 0.00131226  0.0012207   0.00106812 ... -0.00073242 -0.00067139
 -0.00085449]",33
[0.01580811 0.01577759 0.01568604 ... 0.00152588 0.00183105 0.00195312],33
"[-0.00167847 -0.00561523 -0.00836182 ... -0.00057983 -0.00061035
 -0.00057983]",33
"[-0.03204346 -0.037323   -0.04345703 ... -0.05651855 -0.0451355
 -0.02975464]",33
"[-0.00045776 -0.00045776 -0.00045776 ... -0.00036621 -0.00045776
 -0.00045776]",33
"[-0.02233887 -0.0083313   0.00616455 ... -0.01513672 -0.01519775
 -0.01565552]",33
"[-0.02679443 -0.02285767 -0.01712036 ...  0.          0.
  0.        ]",24
"[-0.00085449 -0.0007019  -0.00048828 ...  0.          0.
  0.        ]",30
"[-0.04125977 -0.0760498  -0.0826416  ...  0.          0.
  0.        ]",24
"[-0.0663147  -0.06793213 -0.06906128 ...  0.00830078  0.00830078
  0.00869751]",28
"[ 0.09442139  0.09829712  0.10177612 ... -0.01895142 -0.01907349
 -0.0196228 ]",47
[0.00079346 0.00112915 0.00234985 ... 0.         0.         0.        ],32
[0.0194397  0.02713013 0.03198242 ... 0.         0.         0.        ],24
"[-0.00579834 -0.00588989 -0.00653076 ...  0.04611206  0.04083252
  0.03433228]",18
[0.02709961 0.02160645 0.03262329 ... 0.02642822 0.03097534 0.03973389],45
"[-0.05084229 -0.07290649 -0.11245728 ... -0.04550171 -0.04641724
 -0.04602051]",45
"[-0.03994751 -0.04049683 -0.04077148 ...  0.084198    0.08001709
  0.07495117]",42
"[-0.00027466 -0.00018311 -0.00024414 ...  0.          0.
  0.        ]",21
"[-0.0015564  -0.00738525 -0.01028442 ...  0.05062866  0.04940796
  0.04800415]",46
"[ 0.00537109  0.0057373   0.00543213 ... -0.04064941 -0.0642395
 -0.04397583]",18
[0.01693726 0.01654053 0.01672363 ... 0.00357056 0.00354004 0.00375366],14
"[-0.02310181 -0.02322388 -0.02322388 ...  0.06970215  0.06549072
  0.05612183]",14
"[ 0.06512451  0.1793518   0.27008057 ... -0.02163696 -0.0708313
 -0.05551147]",10
"[-0.00152588 -0.00201416 -0.00112915 ...  0.00076294 -0.00265503
 -0.00653076]",9
[0.04742432 0.0451355  0.0447998  ... 0.         0.         0.        ],9
[0.07281494 0.08346558 0.05780029 ... 0.03671265 0.02578735 0.02609253],18
[0. 0. 0. ... 0. 0. 0.],29
"[-0.08203125 -0.09844971 -0.09368896 ...  0.          0.
  0.        ]",10
"[ 0.          0.          0.         ...  0.00057983  0.0005188
 -0.00021362]",5
"[-0.01409912 -0.01672363 -0.01904297 ... -0.01528931 -0.00967407
 -0.00549316]",5
"[-0.05453491 -0.05841064 -0.05490112 ...  0.03756714  0.04403687
  0.05541992]",46
"[-3.6621094e-04 -5.1879883e-04 -1.3122559e-03 ... -1.5258789e-04
 -1.8310547e-04 -9.1552734e-05]",38
"[ 0.00045776 -0.01287842 -0.00860596 ... -0.03143311 -0.02261353
  0.04345703]",13
"[-0.02438354  0.02487183  0.03076172 ...  0.00192261  0.02905273
  0.02627563]",13
[0.00811768 0.00915527 0.00643921 ... 0.         0.         0.        ],8
"[-0.27566528 -0.26690674 -0.2579651  ...  0.          0.
  0.        ]",3
"[ 0.00961304  0.0017395  -0.01586914 ...  0.          0.
  0.        ]",24
[0.00119019 0.00131226 0.0012207  ... 0.         0.         0.        ],34
"[-0.00268555  0.04489136  0.04202271 ... -0.00125122 -0.00897217
 -0.00772095]",27
"[-0.1015625  -0.00360107  0.03939819 ... -0.0078125   0.06433105
  0.06860352]",27
"[ 0.11932373  0.01675415 -0.1144104  ...  0.04013062  0.06130981
  0.01412964]",13
"[1.2207031e-04 9.1552734e-05 9.1552734e-05 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",21
